Time(ms) photo_num Photo_Time speed steer_pos servo_pos sonar_dist lon lat gps_time magx magy magz gyroz delta_enc_counts
8459 43 0 -21 570 72 894 -1 -1 -1 35.1 -33.5 -83.5 -0.01 0
8498 43 0 -23 570 75 1209 -1 -1 -1 35.2 -33.4 -83.8 0.0 0
8536 43 0 -35 570 78 0 -1 -1 -1 35.2 -33.4 -83.8 -0.01 0
8574 43 0 -39 570 81 0 -1 -1 -1 34.9 -33.4 -85.8 -0.01 0
8612 43 0 -39 570 84 2731 -1 -1 -1 34.9 -33.4 -85.8 -0.01 0
8651 44 0 -39 570 87 0 -1 -1 -1 34.7 -33.1 -86.1 0.0 -1
8688 44 0 -39 570 90 2384 -1 -1 -1 34.3 -33.3 -85.8 0.0 0
8727 44 0 -39 570 93 2592 -1 -1 -1 34.3 -33.3 -85.8 0.0 0
8817 45 0 -39 570 96 0 -1 -1 -1 34.5 -33.1 -85.3 -0.01 -1
8856 45 0 -39 570 99 0 -1 -1 -1 34.9 -33.5 -85.6 -0.02 -1
8893 45 0 -39 570 102 3217 -1 -1 -1 34.7 -33.4 -85.1 -0.01 0
8931 45 0 -39 570 105 0 -1 -1 -1 34.7 -33.4 -85.1 0.0 -1
8969 45 0 -39 570 108 0 -1 -1 -1 34.4 -33.0 -85.7 -0.01 0
9007 46 0 -39 570 111 0 -1 -1 -1 34.4 -33.0 -85.7 0.0 -1
9046 46 0 -39 570 114 0 -1 -1 -1 34.7 -33.0 -85.0 -0.01 -1
9084 46 0 -39 570 117 2737 -1 -1 -1 34.7 -33.0 -85.0 -0.01 -1
9121 46 0 -39 570 120 2692 -1 -1 -1 34.9 -33.9 -84.5 -0.01 -1
9160 46 0 -39 570 117 2262 -1 -1 -1 34.9 -33.9 -84.6 -0.01 0
9199 47 0 -39 570 114 0 -1 -1 -1 34.2 -33.0 -84.6 -0.01 -2
9237 47 0 -39 570 111 0 -1 -1 -1 34.6 -34.0 -84.8 -0.01 0
9275 47 0 -39 570 108 0 -1 -1 -1 34.6 -34.0 -84.8 -0.01 -1
9313 47 0 -39 570 105 2682 -1 -1 -1 34.7 -33.6 -84.4 -0.02 -1
